ref_score_name    cad_score_name  models_count  cor_pearson         cor_spearman
rna_inf_norv      na_stacking     104           0.958581005990493   0.954142053055721
rna_inf_norv      SS              104           0.952209977164867   0.948145387464671
rna_inf_norv      SA              104           0.951405702251782   0.9426075414829
rna_inf_norv      AS              104           0.950572837042211   0.9413858008954
rna_inf_norv_os   na_stacking     104           0.950028771643448   0.949949987909828
rna_inf_norv_os   AS              104           0.945415869005034   0.94738386762417
rna_inf_norv_os   SA              104           0.944590309377091   0.94566067250511
rna_inf_norv_os   SS              104           0.943192415822325   0.948296147393084
rna_inf_norv_os   AA              104           0.940820739106142   0.944465639357527
rna_inf_norv      AA              104           0.939258173315645   0.944864293747148
rna_inf_norv      MS              104           0.931174301864465   0.922872963172139
rna_inf_norv_os   MS              104           0.921375761344221   0.909542929607173
rna_inf_norv_os   AM              104           0.909214336805343   0.901433776105716
rna_inf_norv      SM              104           0.908574180607576   0.907294436903574
rna_inf_norv      AM              104           0.908052397321077   0.898747587902807
rna_inf_norv_os   MA              104           0.906109952350884   0.897907361326464
rna_inf_norv      MA              104           0.902962005299275   0.891513176389048
rna_inf_norv_os   SM              104           0.900969481049715   0.895223871713811
rna_inf_norv_obp  na_stacking     104           0.893081135388671   0.893494775389303
rna_inf_norv_obp  SS              104           0.889853595793797   0.891589942298934
rna_inf_norv_obp  SA              104           0.886315202909301   0.889071507512787
rna_inf_norv_obp  AS              104           0.883268033511997   0.882604679205987
rna_inf_norv      na_siding       104           0.88266400473436    0.865339118213165
rna_inf_norv_obp  na_siding       104           0.875275100266697   0.851289650053668
rna_inf_norv_obp  MS              104           0.869352637052472   0.897288434569282
rna_inf_norv_obp  AA              104           0.862856169357648   0.899107896988935
rna_inf_norv_os   MM              104           0.84827309179913    0.854325996225542
rna_inf_norv_obp  SM              104           0.846613414692444   0.885576645680317
rna_inf_norv_os   na_siding       104           0.840462876034618   0.850106035423139
rna_inf_norv      MM              104           0.836631745621043   0.83645482327549
rna_inf_norv_obp  AM              104           0.832301037074675   0.838905567132808
rna_inf_norv_obp  MA              104           0.825380133859135   0.830779346413949
rna_inf_norv_obp  MM              104           0.75221858304875    0.746555844084873
rna_rmsd          SM              104           -0.789964881986494  -0.819618261157166
rna_di            SM              104           -0.795926243558905  -0.844146422131891
rna_rmsd          MS              104           -0.805482087750088  -0.811285728003073
rna_di            MS              104           -0.812646376533557  -0.837776995380299
rna_rmsd          na_stacking     104           -0.820415768237254  -0.791163887377439
rna_di            MM              104           -0.822777498601346  -0.803337280884251
rna_rmsd          MM              104           -0.829459305320342  -0.786416157219217
rna_rmsd          na_siding       104           -0.829714890300035  -0.734959297549318
rna_di            na_stacking     104           -0.838045021918635  -0.821453338881243
rna_di            na_siding       104           -0.850111468079111  -0.755486562323294
rna_rmsd          SS              104           -0.858652176058244  -0.801651569951669
rna_di            AM              104           -0.861898976160542  -0.837115513875108
rna_rmsd          AM              104           -0.863880452010064  -0.814027675532653
rna_di            MA              104           -0.870188538977546  -0.840625633475232
rna_rmsd          MA              104           -0.873569357041591  -0.821570698503131
rna_rmsd          AS              104           -0.874943491738906  -0.81586275325673
rna_rmsd          SA              104           -0.875515804296433  -0.819383541913389
rna_di            SS              104           -0.875817152124816  -0.830628727501627
rna_di            AS              104           -0.889155463923263  -0.842674092330015
rna_di            SA              104           -0.889301739035258  -0.846184211930139
rna_rmsd          AA              104           -0.894830415968438  -0.836443363313382
rna_di            AA              104           -0.901748994909404  -0.861248919758026
