ref_score_name    cad_score_name  targets_count  models_count  cor_pearson         cor_spearman
rna_inf_norv      na_stacking     67             33343         0.897882987368316   0.905478564294274
rna_inf_norv_os   na_stacking     67             33343         0.879908115223495   0.885641799976623
rna_inf_norv      SS              67             33343         0.876539005178959   0.886703728725029
rna_inf_norv      AS              67             33343         0.87649628652502    0.88696318017273
rna_inf_norv      SA              67             33343         0.874508601125872   0.88485958042823
rna_inf_norv_os   AS              67             33343         0.861859972909549   0.868425318754284
rna_inf_norv_os   SS              67             33343         0.860850733262244   0.867287128758685
rna_inf_norv_os   SA              67             33343         0.859264381435674   0.865486078225142
rna_inf_norv      AA              67             33343         0.827265845088278   0.835852244513749
rna_inf_norv_os   AA              67             33343         0.816939661263286   0.821078102923486
rna_inf_norv      MS              67             33343         0.804007398887456   0.824034159691746
rna_inf_norv      na_siding       67             33343         0.800620354198403   0.797553832303625
rna_inf_norv_os   MS              67             33343         0.800397740675274   0.820952722270777
GDT_ALL           MS              67             33343         0.796184968859118   0.77354960741522
rna_inf_norv_os   SM              67             33343         0.783658675163783   0.79975063493899
rna_inf_norv      SM              67             33343         0.783052540234584   0.799302447273731
rna_inf_norv_obp  na_stacking     67             33343         0.776411282962606   0.796959984803527
rna_inf_norv_obp  na_siding       67             33343         0.770682733591363   0.781548340795347
GDT_ALL           SM              67             33343         0.767854333594762   0.746891421227266
GDT_ALL           na_stacking     67             33343         0.764387755185927   0.75555056242905
GDT_ALL           AS              67             33343         0.760608345880036   0.75854813680114
rna_inf_norv_obp  SS              67             33343         0.754061878045262   0.780961134452264
GDT_ALL           SS              67             33343         0.752303299463573   0.753260442159467
rna_inf_norv_obp  AS              67             33343         0.752289858035279   0.779627898810262
rna_inf_norv_obp  SA              67             33343         0.751523041640152   0.779154035010156
GDT_ALL           SA              67             33343         0.751018104758172   0.751858432941791
rna_inf_norv_os   na_siding       67             33343         0.744551300882694   0.742477708089394
GDT_C3            MS              67             33343         0.74121957196203    0.728319012036833
GDT_ALL           AA              67             33343         0.724025970225861   0.71234663689438
GDT_C3            SM              67             33343         0.71063710576636    0.699928932918208
GDT_C3            na_stacking     67             33343         0.706810143379099   0.705549021296497
rna_inf_norv_obp  AA              67             33343         0.706173709826531   0.733029620551332
GDT_C3            AS              67             33343         0.703522287376227   0.709522457466968
GDT_C3            SS              67             33343         0.695203590680432   0.70380688753416
GDT_C3            SA              67             33343         0.693042819406359   0.702202637320035
GDT_C3            AA              67             33343         0.672365487099535   0.66718472734905
rna_inf_norv_obp  MS              67             33343         0.672261597069463   0.698988397266032
rna_inf_norv_obp  SM              67             33343         0.646777293104257   0.672678247896108
GDT_ALL           na_siding       67             33343         0.634996783060854   0.630232186182498
rna_inf_norv      AM              67             33343         0.626918358240903   0.663583604290651
rna_inf_norv_os   AM              67             33343         0.623170995977575   0.654556921328331
GDT_C3            na_siding       67             33343         0.586768991991313   0.592360111396646
rna_inf_norv      MA              67             33343         0.580896622195093   0.600178887405918
rna_inf_norv_os   MA              67             33343         0.576699672309202   0.589625762456669
GDT_ALL           AM              67             33343         0.575554426716927   0.586693404996199
GDT_ALL           MA              67             33343         0.537326026798762   0.536046076216154
GDT_C3            AM              67             33343         0.534778489402535   0.550624377480761
